full_formula,task_id,formation_energy_per_atom
La2Rh2,mp-1002107,-0.7374389025000001
Hf2Zn1,mp-1014231,-0.17770741333333362
Tm2Au2,mp-1017507,-0.9050376108333325
La1Bi1Pt1,mp-1018136,-1.0456753816666666
Yb1Ni1H3,mp-1018647,-0.6689595129999993
Ce2Se4,mp-1018665,-1.9175653415624996
Dy2Al2Zn2,mp-1018674,-0.4551460050000002
Ce8P32O96,mp-1019593,-2.879079856446078
K8Na4Zn4B20O40,mp-1019787,-2.648984984388687
La1P12Os4,mp-1021506,-0.6209042891176475
Er2Cu4,mp-1024991,-0.2832350049999999
Er1Ni4Au1,mp-1025001,-0.4043854300000002
Nd2Ni2Sb2,mp-1025087,-0.8904670866666665
Cs2Ca1Cl4,mp-1025185,-2.5383389508374385
Tl2Cu1F4,mp-1025338,-1.9422372295238095
Ti2V1S4,mp-1025368,-1.5745347527380957
Ca1Zr1N2,mp-1029267,-1.664115605000001
Sr6W2N6,mp-1029655,-0.9537639457142859
Li4V4N8,mp-1029932,-1.0134646627083335
Nb4Co6Si2,mp-10366,-0.44113036416666657
Tl8Te4Mo8P8O56,mp-10448,-2.065657053492063
Y3Ga1C1,mp-10601,-0.4785647775000001
Lu3Sn1C1,mp-10609,-0.6699337629999995
Zr2Br2,mp-1065846,-1.2709479762500004
Ca2Mg1Pd2,mp-1068035,-0.673963818
La2Au4,mp-1072087,-0.8058629566666665
Ta1Cu3S4,mp-10748,-0.8696508915625012
Sc2Al2Ge2,mp-1077599,-0.5870992149999997
Rb1Er1Se2,mp-10784,-1.955691798046875
Yb2Ga4Ni2,mp-1078497,-0.59858518875
Ca2Rh2O6,mp-1078659,-2.0930562969999995
Eu4Zn2P4,mp-1078980,-0.9910008963333325
Tm4Co2Ge4,mp-1079667,-0.7524303506666662
V6Ge2N2,mp-1079695,-0.7928466879999988
Er6Co1Te2,mp-1079725,-0.7468826950000005
Dy4Cd2Ge4,mp-1079838,-0.7192545349999996
V1Pt8,mp-1079997,-0.26036582111111134
Cs2Sr2I6,mp-1080232,-1.89404960791954
Mo2Br4O4,mp-1080460,-1.392638555
K2Mg5Sn3,mp-1087476,-0.20262704910000018
Ho1Hg1,mp-1092,-0.48603224749999985
Li4Sn2Se6,mp-1095291,-1.0663556156163196
Lu3B3Pt6,mp-1095320,-1.009070886458333
Sc4Ga4Pd4,mp-1095544,-0.8289366133333331
La4P4Au2O2,mp-1095626,-1.8802314702777778
Ag4Ge2Se6,mp-1096802,-0.42753401839409716
Li4Er4O8,mp-10970,-3.3216714470833333
Tm4Al4Au4,mp-1102248,-0.7936439072222227
Gd4Ge4Ir4,mp-1102413,-0.8995889641666656
Zr2Tl4S6,mp-1102830,-1.2328687543402772
Ca4Cd4Pt4,mp-1103046,-0.7195754258333332
Pd4Pb2O8,mp-1103838,-1.0749408985714288
Tm1Zn12,mp-1103916,-0.1691891743589745
